#M_p, a_p, am_o, am_f, em_o, max em, em_dot, sim_time, sim_time/P_p, stab_flag (0 = stable), done_flag (0 = done)
1.08,0.162,8.6519,25.1422,0.0000,0.1006,4.7993e-01,1.1280e+06,8.2966e+06,-1,0
1.19,0.112,8.6519,18.0053,0.0000,0.0992,4.0747e-01,1.1800e+05,1.5098e+06,-1,0
1.26,0.150,8.6519,24.3635,0.0000,0.0987,4.7028e-01,1.0020e+06,8.2717e+06,-1,0
1.46,0.083,8.6519,14.4224,0.0000,0.0967,3.7260e-01,3.1000e+04,6.2174e+05,-1,0
1.34,0.128,8.6519,21.2611,0.0000,0.1096,4.1868e-01,4.0500e+05,4.2413e+06,-1,0
1.67,0.112,8.6519,20.0501,0.0000,0.0918,4.3884e-01,3.2100e+05,4.1072e+06,-1,0
1.48,0.138,8.6519,23.7534,0.0000,0.0943,4.6289e-01,8.9300e+05,8.3540e+06,-1,0
0.84,0.085,8.6519,12.1451,0.0000,0.1090,3.6917e-01,6.7000e+03,1.2966e+05,-1,0
0.87,0.150,8.6519,21.7838,0.0000,0.1081,4.1371e-01,3.7100e+05,3.0627e+06,-1,0
2.00,0.119,8.6519,22.5966,0.0000,0.0949,4.2918e-01,8.2900e+05,9.6850e+06,-1,0
1.42,0.148,8.6519,25.0768,0.0000,0.0996,4.7182e-01,1.3260e+06,1.1169e+07,-1,0
1.58,0.099,8.6519,17.6031,0.0000,0.0978,3.7803e-01,1.2400e+05,1.9091e+06,-1,0
1.71,0.083,8.6519,14.9721,0.0000,0.1045,3.8779e-01,4.6000e+04,9.2258e+05,-1,0
1.88,0.114,8.6519,21.2162,0.0000,0.0945,4.5716e-01,5.0900e+05,6.3420e+06,-1,0
1.20,0.113,8.6519,18.2530,0.0000,0.1112,4.2047e-01,1.3600e+05,1.7171e+06,-1,0
0.98,0.095,8.6519,14.2612,0.0000,0.0963,4.0505e-01,2.2000e+04,3.6033e+05,-1,0
0.91,0.090,8.6519,13.3343,0.0000,0.3104,3.8487e-01,1.6000e+04,2.8420e+05,-1,0
1.19,0.132,8.6519,21.0974,0.0000,0.1022,4.1394e-01,3.5100e+05,3.5100e+06,-1,0
1.02,0.094,8.6519,14.8583,0.0000,0.1605,3.7764e-01,2.8000e+04,4.6594e+05,-1,0
1.96,0.160,8.6519,30.1257,0.0000,0.0857,4.5683e-01,5.4790e+06,4.1057e+07,-1,0
1.69,0.152,8.6519,27.2334,0.0000,0.0910,4.6601e-01,2.6250e+06,2.1244e+07,-1,0
1.70,0.151,8.6519,27.1223,0.0000,0.0970,4.5272e-01,2.5710e+06,2.1014e+07,-1,0
1.79,0.117,8.6519,21.4094,0.0000,0.1005,4.5291e-01,5.0700e+05,6.0757e+06,-1,0
1.30,0.112,8.6519,18.3838,0.0000,0.0993,4.3345e-01,1.5800e+05,2.0216e+06,-1,0
2.00,0.139,8.6519,26.4260,0.0000,0.0905,4.5076e-01,2.4260e+06,2.2451e+07,-1,0
1.91,0.123,8.6519,22.9795,0.0000,0.1154,4.6795e-01,9.0900e+05,1.0106e+07,-1,0
1.36,0.130,8.6519,21.7440,0.0000,0.0980,4.4624e-01,4.6600e+05,4.7680e+06,-1,0
1.66,0.159,8.6519,28.3969,0.0000,0.3605,5.5213e-01,2.5160e+06,1.9032e+07,-1,0
1.95,0.143,8.6519,26.9542,0.0000,0.1034,4.5060e-01,2.6800e+06,2.3768e+07,-1,0
1.18,0.093,8.6519,14.9838,0.0000,0.1635,3.6854e-01,3.8000e+04,6.4257e+05,-1,0
1.15,0.115,8.6519,18.2016,0.0000,0.1029,3.7352e-01,1.3700e+05,1.6848e+06,-1,0
1.20,0.179,8.6519,28.6520,0.0000,0.0921,4.6107e-01,2.9650e+06,1.8776e+07,-1,0
1.19,0.176,8.6519,28.1824,0.0000,0.4037,5.3857e-01,1.9670e+06,1.2776e+07,-1,0
0.95,0.167,8.6519,24.6865,0.0000,0.1009,4.3792e-01,9.6600e+05,6.7884e+06,-1,0
1.69,0.099,8.6519,17.7393,0.0000,0.0901,4.1713e-01,1.4800e+05,2.2786e+06,-1,0
1.74,0.132,8.6519,23.8780,0.0000,0.0908,4.3223e-01,1.0690e+06,1.0690e+07,-1,0
1.01,0.177,8.6519,26.7312,0.0000,0.1057,4.5020e-01,1.7060e+06,1.0987e+07,-1,0
1.74,0.100,8.6519,18.1148,0.0000,0.1016,4.4955e-01,1.7900e+05,2.7147e+06,-1,0
1.33,0.161,8.6519,26.6334,0.0000,0.0920,4.5307e-01,1.8790e+06,1.3949e+07,-1,0
1.39,0.122,8.6519,20.4970,0.0000,0.0970,4.3709e-01,3.2900e+05,3.7027e+06,-1,0
1.67,0.123,8.6519,21.9731,0.0000,0.0917,4.4616e-01,6.0200e+05,6.6927e+06,-1,0
1.21,0.176,8.6519,28.4954,0.0000,0.3862,5.4707e-01,2.0640e+06,1.3406e+07,-1,0
1.90,0.141,8.6519,26.2661,0.0000,0.0969,4.4571e-01,2.1830e+06,1.9774e+07,-1,0
1.77,0.124,8.6519,22.6212,0.0000,0.0965,4.6600e-01,7.5300e+05,8.2704e+06,-1,0
1.04,0.143,8.6519,21.8054,0.0000,0.0950,4.4057e-01,4.0800e+05,3.6184e+06,-1,0
1.87,0.162,8.6519,30.1085,0.0000,0.3556,5.7152e-01,4.1600e+06,3.0597e+07,-1,0
